site,reliable,bias,conspiracy,clickbait,unreliable,rumor,fake,blog,junksci,state,hate,satire
100percentfedup.com,0,1,0,0,0,0,0,0,0,0,0,0
365usanews.com,0,1,1,0,0,0,0,0,0,0,0,0
4threvolutionarywar.wordpress.com,0,1,1,0,0,0,0,0,0,0,0,0
aheadoftheherd.com,0,1,0,0,0,0,0,0,0,0,0,0
americablog.com,0,1,0,1,0,0,0,0,0,0,0,0
americanlookout.com,0,1,0,1,0,0,0,0,0,0,0,0
americanpatriotdaily.com,0,1,0,1,0,0,0,0,0,0,0,0
americanthinker.com,0,1,0,0,0,0,0,0,0,0,0,0
americasfreedomfighters.com,0,1,0,1,0,0,0,0,0,0,0,0
AmmoLand.com,0,1,0,0,0,0,0,0,0,0,0,0
anotherdayintheempire.com,0,1,1,0,0,0,0,0,0,0,0,0
antiwar.com,0,1,0,0,1,0,0,0,0,0,0,0
antoniusaquinas.wp.com,0,1,1,0,0,0,0,0,0,0,0,0
bignuggetnews.com,0,1,0,0,0,1,0,0,0,0,0,0
BrotherJohnF.com,0,1,1,0,0,0,0,0,0,0,0,0
centerforsecuritypolicy.org,0,1,1,0,0,0,0,0,0,0,0,0
charismanews.com,0,1,0,0,0,0,0,0,0,0,0,0
citizensunited.org,0,1,0,0,0,0,0,0,0,0,0,0
conservapedia.com,0,1,0,0,0,0,0,0,0,0,0,0
conservativefiringline.com,0,1,1,1,0,0,0,0,0,0,0,0
conservativehq.com,0,1,0,0,0,0,0,0,0,0,0,0
conservativepapers.com,0,1,0,0,0,0,0,0,0,0,0,0
conservativespirit.com,0,1,0,0,0,0,1,0,0,0,0,0
conservativestate.com,0,1,0,0,0,0,0,0,0,0,0,0
conservativetribune.com,0,1,1,0,1,0,0,0,0,0,0,0
countercurrentnews.com,0,1,0,0,0,0,0,0,0,0,0,0
counterjihad.com,0,1,0,0,0,0,0,0,0,0,0,0
cowgernation.com,0,1,1,0,0,0,0,0,0,0,0,0
dailynewsbin.com,0,1,0,1,0,0,0,0,0,0,0,0
dailypoliticsusa.com,0,1,0,0,0,0,0,0,0,0,0,0
dailysignal.com,0,1,0,0,0,0,0,0,0,0,0,0
dailytelegraph.com.au,0,1,0,0,0,1,0,0,0,0,0,0
dailywire.com,0,1,0,0,0,0,0,0,0,0,0,0
darkpolitricks.com,0,1,1,0,0,0,0,0,0,0,0,0
DeadlyClear.wordpress.com,0,1,0,0,0,0,1,0,0,0,0,0
debunkingskeptics.com,0,1,1,0,0,0,0,0,0,0,0,0
defenddemocracy.press,0,1,0,0,0,0,0,0,0,0,0,0
DollarVigilante.com,0,1,0,0,0,0,0,0,0,0,0,0
EagleRising.com,0,1,0,1,0,0,0,0,0,0,0,0
elelephantintheroom.blogspot.com,0,1,0,0,0,0,0,0,0,0,0,0
endingthefed.com,0,1,0,0,0,0,0,0,0,0,0,0
endtime.com,0,1,0,1,0,0,0,0,0,0,0,0
extraclubmagazine.com,0,1,0,1,0,0,1,0,0,0,0,0
federalistpress.com,0,1,0,0,0,0,0,0,0,0,0,0
firearmscoalition.org,0,1,0,0,0,0,0,1,0,0,0,0
freakoutnation.com,0,1,0,0,0,0,0,0,0,0,0,0
FreeBeacon.com,0,1,0,0,0,0,0,0,0,0,0,0
FreedomsPhoenix.com,0,1,1,0,0,0,0,0,0,0,0,0
freedomworldnews.com,0,1,0,0,1,0,0,0,0,0,0,0
frontpagemag.com,0,1,0,0,0,0,0,0,0,0,1,0
gulagbound.com,0,1,0,0,0,0,0,0,0,0,0,0
heartland.org,0,1,0,0,0,0,0,0,0,0,0,0
heresyblog.net,0,1,1,0,0,1,0,0,0,0,0,0
horowitzfreedomcenter.org,0,1,0,0,0,0,0,0,0,0,0,0
ihavethetruth.com,0,1,0,1,0,0,1,0,0,0,0,0
ilovemyfreedom.org,0,1,0,1,0,0,0,0,0,0,0,0
informetoday.com,0,1,0,0,1,0,0,0,0,0,0,0
instaworldnews.com,0,1,0,0,0,0,0,0,0,0,0,0
intrepidreport.com,0,1,0,0,0,0,0,0,0,0,0,0
investmentwatchblog.com,0,1,0,0,0,0,1,0,0,0,0,0
jamesrgrangerjr.com,0,1,0,0,0,0,0,0,0,0,0,0
journal-neo.org,0,1,0,0,0,0,0,0,0,0,0,0
katehon.com,0,1,0,0,0,0,0,0,0,0,0,0
lewrockwell.com,0,1,0,0,1,0,0,0,0,0,0,0
libertyunyielding.com,0,1,0,0,0,0,0,0,0,0,0,0
lifeandabout.com,0,1,0,0,0,0,0,0,0,0,0,0
lifenews.com,0,1,0,1,0,0,0,0,0,0,0,0
liveactionnews.org,0,1,0,0,0,0,0,0,0,0,0,0
makeamericagreattoday.com,0,1,0,0,0,0,1,0,0,0,0,0
meanlefthook.com,0,1,0,1,0,0,0,0,0,0,0,0
molonlabemedia.com,0,1,1,0,0,0,0,0,0,0,0,0
moonofalabama.org,0,1,0,0,0,0,0,0,0,0,0,0
newslogue.com,0,1,0,0,0,0,1,0,0,0,0,0
newsninja2012.com,0,1,0,0,0,0,0,0,0,0,0,0
oathkeepers.org,0,1,0,0,0,0,0,0,0,0,0,0
occupyliberals.com,0,1,0,1,0,0,0,0,0,0,0,0
off-guardian.org,0,1,1,0,0,0,0,0,0,0,0,0
oftwominds.com,0,1,1,0,0,0,0,0,0,0,0,0
openmindmagazine.com,0,1,1,0,0,0,0,0,0,0,0,0
orientalreview.org,0,1,1,0,0,0,0,0,0,0,0,0
palmerreport.com,0,1,0,0,0,0,0,0,0,0,0,0
patdollar.com,0,1,0,1,0,0,0,0,0,0,0,0
patriotchronicle.com,0,1,0,1,0,0,0,0,0,0,0,0
patriotnewsdaily.com,0,1,0,0,0,0,0,0,0,0,0,0
patriotpost.us,0,1,0,0,0,0,0,0,0,0,0,0
patriotrising.com,0,1,1,0,0,0,0,0,0,0,0,0
patriotupdate.com,0,1,1,0,0,0,0,0,0,0,0,0
paulcraigroberts.org,0,1,1,0,0,0,0,0,0,0,0,0
platosguns.com,0,1,1,0,0,0,0,0,0,0,0,0
politicalcult.com,0,1,1,1,0,0,0,0,0,0,0,0
pravda.ru,0,1,1,0,0,1,0,0,0,0,0,0
pravdareport.com,0,1,1,0,0,1,0,0,0,0,0,0
presstv.com,0,1,0,0,1,0,0,0,0,0,0,0
presstv.ir,0,1,0,0,1,0,0,0,0,0,0,0
progressivestoday.com,0,1,0,0,0,0,0,0,0,0,0,0
projectveritas.com,0,1,0,0,1,0,0,0,0,0,0,0
qpolitical.com,0,1,0,1,0,0,0,0,1,0,0,0
readconservatives.news,0,1,0,1,0,0,1,0,0,0,0,0
reagancoalition.com,0,1,0,1,0,0,1,0,0,0,0,0
realtimepolitics.com,0,1,0,0,1,0,0,0,0,0,0,0
redflagnews.com,0,1,1,0,1,0,0,0,0,0,0,0
redstatewatcher.com,0,1,0,1,0,0,0,0,0,0,0,0
regated.com,0,1,0,0,0,0,0,0,0,0,0,0
rightalert.com,0,1,0,0,1,0,0,0,0,0,0,0
rightwingnews.com,0,1,0,0,1,0,0,0,0,0,0,0
russia-insider.com,0,1,0,1,0,0,0,0,0,0,0,0
SJLendman.Blogspot.com,0,1,0,0,0,0,0,0,0,0,0,0
sputniknews.com,0,1,0,0,0,0,1,0,0,1,0,0
thefederalistpapers.org,0,1,1,0,0,0,0,0,0,0,0,0
thegatewaypundit.com,0,1,1,0,1,0,0,0,0,0,0,0
thenewamerican.com,0,1,0,0,0,0,0,0,0,0,0,0
thenewsdoctors.com,0,1,0,0,0,0,0,0,0,0,0,0
therealstrategy.com,0,1,1,0,0,0,0,0,0,0,1,0
thewatchtowers.com,0,1,1,1,0,0,0,0,0,0,0,0
truepundit.com,0,1,0,1,0,0,0,0,0,0,0,0
truthandaction.org,0,1,1,1,0,0,0,0,0,0,0,0
truthkings.com,0,1,1,0,0,0,0,0,1,0,0,0
truthrevolt.org,0,1,0,0,0,0,0,0,0,0,1,0
unclesamsmisguidedchildren.com,0,1,0,0,0,0,0,0,0,0,0,0
unz.com,0,1,0,0,0,0,0,0,0,0,0,0
usapoliticstoday.com,0,1,0,0,1,0,0,0,0,0,0,0
USAWatchdog.com,0,1,0,0,0,0,0,0,0,0,0,0
uschronicle.com,0,1,1,0,0,0,0,0,0,0,1,0
usherald.com,0,1,1,0,0,0,1,0,0,0,0,0
vdare.com,0,1,0,0,0,0,0,0,0,0,1,0
veteranstoday.com,0,1,0,0,1,0,0,0,0,0,0,0
washingtonsblog.com,0,1,1,0,0,0,0,0,0,0,0,1
wearechange.org,0,1,1,0,0,0,0,0,0,0,0,0
westernjournalism.com,0,1,0,1,0,0,0,0,0,0,0,0
winningdemocrats.com,0,1,0,0,1,0,0,0,0,0,0,0
wnd.com,0,1,0,1,1,0,0,0,0,0,0,0
worldnewspolitics.com,0,1,0,0,0,0,0,0,0,0,0,0
Youngcons.com,0,1,0,0,1,0,0,0,0,0,0,0
addictinginfo.org,0,0,0,1,1,0,0,0,0,0,0,0
amplifyingglass.com,0,0,0,1,0,0,0,0,0,0,0,1
amusmentic.com,0,0,0,1,0,1,0,0,0,0,0,0
automotostar.com,0,0,0,1,0,0,0,0,0,0,0,0
bients.com,0,0,0,1,0,0,0,0,0,0,0,0
bigbluevision.org,0,1,0,1,0,0,0,0,0,0,0,0
bipartisanreport.com,0,1,0,1,0,0,0,0,0,0,0,0
blacklistednews.com,0,0,0,1,1,0,0,0,0,0,0,0
bluenationreview.com,0,0,0,1,1,0,0,0,0,0,0,0
